epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3052.9,1.10574,0.66982,0.88045,0.53796,0.42728,0.43954,0.26851,1.15583,0.81752,0.88757,0.007228,0.007228,0.007228
44,3123.26,1.10196,0.66456,0.87919,0.54761,0.42685,0.44037,0.2688,1.15491,0.81798,0.8885,0.007162,0.007162,0.007162
45,3193.93,1.10187,0.65959,0.87902,0.53491,0.43396,0.44318,0.27215,1.15521,0.81527,0.88725,0.007096,0.007096,0.007096
46,3264.85,1.09891,0.65969,0.87889,0.53616,0.43079,0.44249,0.27129,1.15042,0.81945,0.88662,0.00703,0.00703,0.00703
47,3335.65,1.09219,0.65201,0.87732,0.55614,0.42955,0.44739,0.27421,1.15285,0.81104,0.88644,0.006964,0.006964,0.006964
48,3406.41,1.09758,0.65487,0.87658,0.56076,0.42951,0.44907,0.27367,1.1559,0.82066,0.88632,0.006898,0.006898,0.006898
49,3476.87,1.09106,0.64516,0.87552,0.56495,0.42833,0.44914,0.27583,1.14437,0.8128,0.88584,0.006832,0.006832,0.006832
50,3547.87,1.08632,0.64195,0.87427,0.55849,0.42911,0.44778,0.27359,1.14792,0.81501,0.88561,0.006766,0.006766,0.006766
51,3618.27,1.08469,0.63915,0.8744,0.55996,0.43041,0.44766,0.27544,1.14867,0.81693,0.88619,0.0067,0.0067,0.0067
52,3688.69,1.07884,0.63358,0.87409,0.5565,0.43121,0.45102,0.27669,1.14259,0.80768,0.88515,0.006634,0.006634,0.006634
53,3759.69,1.07732,0.63385,0.87402,0.56449,0.4264,0.44904,0.27494,1.1505,0.82304,0.88543,0.006568,0.006568,0.006568
54,3830.29,1.0763,0.62758,0.87178,0.56388,0.43234,0.45332,0.27782,1.14938,0.81155,0.88499,0.006502,0.006502,0.006502
55,3901.15,1.07371,0.62716,0.87194,0.56955,0.42669,0.44845,0.27496,1.1468,0.81739,0.88466,0.006436,0.006436,0.006436
56,3971.69,1.07001,0.62262,0.87055,0.57121,0.43274,0.45148,0.27608,1.14453,0.81495,0.88404,0.00637,0.00637,0.00637
57,4042.21,1.06706,0.61817,0.87065,0.55935,0.43552,0.45243,0.27705,1.14083,0.81972,0.88308,0.006304,0.006304,0.006304
58,4112.89,1.06746,0.61727,0.86961,0.55746,0.42717,0.44813,0.27571,1.14556,0.81942,0.88471,0.006238,0.006238,0.006238
59,4183.35,1.06853,0.61656,0.87067,0.56553,0.42414,0.44462,0.27363,1.14575,0.82306,0.88424,0.006172,0.006172,0.006172
60,4254.17,1.06036,0.61067,0.86909,0.56108,0.43225,0.45093,0.27584,1.14354,0.82558,0.884,0.006106,0.006106,0.006106
61,4324.95,1.06746,0.61243,0.86884,0.55815,0.4397,0.45595,0.27883,1.14448,0.81776,0.88515,0.00604,0.00604,0.00604
62,4396.44,1.05704,0.60453,0.86691,0.56275,0.43254,0.44926,0.27581,1.13876,0.8168,0.88416,0.005974,0.005974,0.005974
63,4466.91,1.04853,0.60126,0.86772,0.55685,0.44059,0.45518,0.27825,1.1448,0.81807,0.88364,0.005908,0.005908,0.005908
64,4537.45,1.05194,0.59873,0.86736,0.55593,0.4313,0.44762,0.27527,1.14316,0.82138,0.88434,0.005842,0.005842,0.005842
65,4608.36,1.05398,0.60054,0.86655,0.56448,0.4306,0.45224,0.278,1.13994,0.81567,0.8837,0.005776,0.005776,0.005776
66,4679.1,1.04466,0.595,0.8668,0.56223,0.43875,0.45308,0.27782,1.1387,0.81954,0.88287,0.00571,0.00571,0.00571
67,4749.83,1.03839,0.58882,0.86521,0.57156,0.43276,0.454,0.27733,1.14004,0.81939,0.88376,0.005644,0.005644,0.005644
68,4820.34,1.03559,0.58463,0.86384,0.55988,0.43817,0.4509,0.27633,1.14102,0.81842,0.88408,0.005578,0.005578,0.005578
69,4890.77,1.03557,0.58456,0.86363,0.57096,0.42944,0.45042,0.27585,1.14736,0.8226,0.88517,0.005512,0.005512,0.005512
70,4961.35,1.03325,0.58041,0.86327,0.55453,0.43517,0.45153,0.27696,1.14133,0.82129,0.88439,0.005446,0.005446,0.005446
71,5031.69,1.03347,0.58258,0.86323,0.5562,0.44182,0.45335,0.27897,1.13744,0.81968,0.88413,0.00538,0.00538,0.00538
72,5102.54,1.02769,0.57622,0.86032,0.5669,0.43391,0.45263,0.27662,1.14184,0.82251,0.8826,0.005314,0.005314,0.005314
73,5173.32,1.03027,0.57584,0.86229,0.56684,0.4348,0.4553,0.27855,1.13876,0.81834,0.88377,0.005248,0.005248,0.005248
74,5243.94,1.02293,0.57033,0.86135,0.56048,0.43758,0.45348,0.27748,1.14088,0.82032,0.88412,0.005182,0.005182,0.005182
75,5314.53,1.0241,0.57183,0.85946,0.56893,0.43626,0.45543,0.27878,1.14236,0.81973,0.88397,0.005116,0.005116,0.005116
76,5385.17,1.01645,0.56723,0.86062,0.55639,0.43877,0.45149,0.27683,1.13635,0.82073,0.88353,0.00505,0.00505,0.00505
77,5455.78,1.02117,0.56674,0.85956,0.55278,0.44235,0.45696,0.27938,1.13907,0.8205,0.88397,0.004984,0.004984,0.004984
78,5526.67,1.01501,0.56227,0.85936,0.56247,0.43739,0.45543,0.27929,1.14067,0.82554,0.88388,0.004918,0.004918,0.004918
79,5597.56,1.00842,0.55632,0.85698,0.55387,0.43925,0.45199,0.27758,1.14305,0.82473,0.88568,0.004852,0.004852,0.004852
80,5668.1,1.00327,0.55501,0.85692,0.57814,0.43098,0.45299,0.27851,1.14194,0.8274,0.88441,0.004786,0.004786,0.004786
81,5738.71,1.00793,0.55665,0.8592,0.56966,0.43599,0.45522,0.2786,1.14127,0.82306,0.88375,0.00472,0.00472,0.00472
82,5809.54,0.99463,0.54632,0.8556,0.57045,0.43502,0.45215,0.27678,1.14295,0.82425,0.885,0.004654,0.004654,0.004654
83,5880.04,1.00149,0.55408,0.85575,0.57585,0.43247,0.45231,0.27868,1.13951,0.82428,0.88387,0.004588,0.004588,0.004588
84,5950.57,0.99907,0.54778,0.85445,0.56709,0.43804,0.45182,0.27757,1.14158,0.82504,0.88474,0.004522,0.004522,0.004522
85,6021.14,0.99234,0.54131,0.85448,0.57768,0.43259,0.45373,0.27853,1.13931,0.82579,0.88365,0.004456,0.004456,0.004456
86,6091.68,0.99296,0.54083,0.8544,0.5763,0.43392,0.45283,0.27852,1.14041,0.82864,0.8845,0.00439,0.00439,0.00439
87,6162.29,0.99287,0.5423,0.85321,0.55945,0.44115,0.45344,0.27895,1.14108,0.82222,0.88408,0.004324,0.004324,0.004324
88,6232.96,0.98728,0.53941,0.85276,0.55872,0.44319,0.45373,0.27882,1.14178,0.82536,0.88399,0.004258,0.004258,0.004258
89,6303.24,0.9851,0.53538,0.85226,0.56784,0.43571,0.45296,0.27814,1.14253,0.83045,0.88451,0.004192,0.004192,0.004192
90,6373.94,0.98234,0.53341,0.8521,0.55997,0.439,0.45072,0.2778,1.14278,0.83024,0.88602,0.004126,0.004126,0.004126
91,6444.28,0.98001,0.53278,0.85261,0.55433,0.44156,0.45057,0.27675,1.1447,0.83254,0.88683,0.00406,0.00406,0.00406
92,6514.78,0.97826,0.53046,0.85146,0.56021,0.43654,0.44833,0.2759,1.14472,0.83302,0.88619,0.003994,0.003994,0.003994
93,6585.53,0.97336,0.52608,0.85041,0.56832,0.43048,0.44779,0.27632,1.14415,0.83395,0.88695,0.003928,0.003928,0.003928
94,6655.95,0.96958,0.52348,0.85004,0.56499,0.43101,0.4485,0.27616,1.14452,0.83634,0.88689,0.003862,0.003862,0.003862
95,6727.01,0.97043,0.52466,0.84936,0.56144,0.4379,0.44992,0.27701,1.1439,0.83659,0.88659,0.003796,0.003796,0.003796
96,6797.94,0.96598,0.51835,0.84824,0.56604,0.43343,0.45013,0.27678,1.14313,0.83401,0.88655,0.00373,0.00373,0.00373
97,6868.86,0.9592,0.51469,0.84837,0.5622,0.43595,0.45063,0.27665,1.14529,0.83413,0.88737,0.003664,0.003664,0.003664
98,6939.76,0.96058,0.51613,0.84834,0.56708,0.43422,0.44869,0.2757,1.14492,0.83281,0.88749,0.003598,0.003598,0.003598
99,7010.64,0.95785,0.51287,0.84739,0.55899,0.43754,0.44783,0.276,1.14384,0.83619,0.88726,0.003532,0.003532,0.003532
